depth,sand,event index,median_age,min_age,max_age,data_site
199.5,4.8974,0,1408.70,1361.2,1444.8,Basin Bayou2
200.5,4.5072,0,1397.70,1348.8,1438.9,Basin Bayou2
201.5,3.0433,0,1386.60,1337,1432.5,Basin Bayou2
202.5,5.074,0,1375.40,1326.9,1425.4,Basin Bayou2
203.5,6.9276,0,1364.50,1317.5,1418.5,Basin Bayou2
204.5,10.5373,0,1359.10,1314.4,1414.6,Basin Bayou2
205.5,11.2311,0,1359.10,1314.4,1414.6,Basin Bayou2
206.5,12.8843,0,1359.10,1314.4,1414.6,Basin Bayou2
207.5,9.5588,0,1359.10,1314.4,1414.6,Basin Bayou2
208.5,9.605,1,1359.10,1314.4,1414.6,Basin Bayou2
209.5,8.3333,0,1353.80,1308.8,1412.1,Basin Bayou2
210.5,7.0479,0,1343.10,1300.9,1405.8,Basin Bayou2
211.5,7.6553,0,1332.40,1294.3,1399,Basin Bayou2
212.5,6.1224,0,1321.50,1288.3,1392.4,Basin Bayou2
213.5,2.5151,0,1310.30,1283,1385.5,Basin Bayou2
NaN,NaN,0,1307.00,NaN,NaN,Basin Bayou2
NaN,NaN,0,1303.50,NaN,NaN,Basin Bayou2
214.5,3.0157,0,1299.80,1276.4,1377.9,Basin Bayou2
215.5,5.62,0,1294.80,1273.3,1373.6,Basin Bayou2
216.5,9.0273,0,1294.80,1273.3,1373.6,Basin Bayou2
217.5,12.487,0,1294.80,1273.3,1373.6,Basin Bayou2
218.5,12.8015,0,1294.80,1273.3,1373.6,Basin Bayou2
219.5,21.1065,0,1294.80,1273.3,1373.6,Basin Bayou2
220.5,23.1393,0,1294.80,1273.3,1373.6,Basin Bayou2
221.5,20.8309,0,1294.80,1273.3,1373.6,Basin Bayou2
222.5,19.5412,0,1294.80,1273.3,1373.6,Basin Bayou2
223.5,13.6023,0,1294.80,1273.3,1373.6,Basin Bayou2
224.5,8.9708,0,1294.80,1273.3,1373.6,Basin Bayou2
225.5,6.5984,1,1294.80,1273.3,1373.6,Basin Bayou2
NaN,NaN,0,1290.10,NaN,NaN,Basin Bayou2
226.5,3.1836,0,1289.90,1263.6,1370.7,Basin Bayou2
227.5,2.7894,0,1280.30,1247.7,1363.6,Basin Bayou2
NaN,NaN,0,1280.20,NaN,NaN,Basin Bayou2
NaN,NaN,0,1273.40,NaN,NaN,Basin Bayou2
228.5,1.1148,0,1271.10,1230.9,1356.4,Basin Bayou2
229.5,0.5133,0,1261.70,1215.1,1348.2,Basin Bayou2
230.5,0.578,0,1252.10,1201.4,1338.7,Basin Bayou2
231.5,10.0237,0,1247.20,1193.1,1334.5,Basin Bayou2
232.5,50.9626,0,1247.20,1193.1,1334.5,Basin Bayou2
233.5,44.3261,1,1247.20,1193.1,1334.5,Basin Bayou2
NaN,NaN,0,1245.10,NaN,NaN,Basin Bayou2
234.5,38.7125,0,1242.70,1188.4,1328.8,Basin Bayou2
235.5,54.1909,0,1238.10,1183.6,1323,Basin Bayou2
236.5,69.1324,0,1238.10,1183.6,1323,Basin Bayou2
237.5,70.6357,0,1238.10,1183.6,1323,Basin Bayou2
238.5,53.4846,0,1238.10,1183.6,1323,Basin Bayou2
239.5,45.3025,0,1238.10,1183.6,1323,Basin Bayou2
240.5,16.9393,1,1238.10,1183.6,1323,Basin Bayou2
241.5,6.8398,0,1233.50,1176.4,1318.4,Basin Bayou2
242.5,28.5036,0,1228.90,1169.1,1313.7,Basin Bayou2
243.5,35.864,1,1228.90,1169.1,1313.7,Basin Bayou2
244.5,5.9318,0,1224.10,1164.5,1307.8,Basin Bayou2
245.5,5.0821,0,1214.50,1153.1,1297,Basin Bayou2
246.5,7.2185,0,1204.70,1142.4,1285.8,Basin Bayou2
247.5,8.2369,0,1194.90,1131.7,1274,Basin Bayou2
NaN,NaN,0,1190.10,NaN,NaN,Basin Bayou2
248.5,8.7615,0,1189.90,1124.8,1268.5,Basin Bayou2
249.5,42.2162,0,1189.90,1124.8,1268.5,Basin Bayou2
250.5,19.5611,0,1189.90,1124.8,1268.5,Basin Bayou2
251.5,11.5398,0,1189.90,1124.8,1268.5,Basin Bayou2
252.5,11.1457,0,1189.90,1124.8,1268.5,Basin Bayou2
253.5,9.6283,1,1189.90,1124.8,1268.5,Basin Bayou2
254.5,8.0738,0,1185.10,1121.1,1262.5,Basin Bayou2
255.5,8.2609,0,1175.50,1111.6,1251.4,Basin Bayou2
256.5,10.7046,1,1170.70,1105.8,1246.3,Basin Bayou2
257.5,4.3572,0,1166.00,1102.5,1240.2,Basin Bayou2
258.5,4.1512,0,1156.40,1094,1229.8,Basin Bayou2
259.5,11.2006,0,1151.50,1088.7,1225.5,Basin Bayou2
260.5,47.4507,0,1151.50,1088.7,1225.5,Basin Bayou2
261.5,15.5381,0,1151.50,1088.7,1225.5,Basin Bayou2
262.5,8.9308,1,1151.50,1088.7,1225.5,Basin Bayou2
263.5,3.9937,0,1146.70,1085.2,1220.1,Basin Bayou2
264.5,12.4488,1,1141.90,1081.6,1214.7,Basin Bayou2
265.5,9.6075,0,1137.10,1076.4,1210.7,Basin Bayou2
266.5,18.3345,0,1132.30,1071.1,1206.6,Basin Bayou2
267.5,10.0878,1,1132.30,1071.1,1206.6,Basin Bayou2
268.5,9.4331,0,1127.70,1068,1201.8,Basin Bayou2
NaN,NaN,0,1125.80,NaN,NaN,Basin Bayou2
269.5,19.6917,1,1123.10,1064.8,1197,Basin Bayou2
270.5,7.7033,0,1118.50,1060.4,1192.8,Basin Bayou2
271.5,4.5602,0,1109.10,1053.3,1183,Basin Bayou2
272.5,1.4745,0,1099.50,1046,1173.1,Basin Bayou2
273.5,0.6619,0,1089.90,1038.5,1162.4,Basin Bayou2
274.5,0.7311,0,1080.20,1031.4,1152,Basin Bayou2
