depth,sand,event index,median_age,min_age,max_age,data_site
344.5,78.8000,0,,,,Laguna Playa Grande
345.5,125.2000,1,,,,Laguna Playa Grande
346.5,114.6000,0,,,,Laguna Playa Grande
347.5,108.2000,0,,,,Laguna Playa Grande
348.5,101.4000,0,,,,Laguna Playa Grande
349.5,81.6000,0,,,,Laguna Playa Grande
350.5,73.2000,0,,,,Laguna Playa Grande
351.5,77.2000,0,,,,Laguna Playa Grande
352.5,68.7000,0,,,,Laguna Playa Grande
353.5,69.1000,0,,,,Laguna Playa Grande
354.5,80.4000,0,,,,Laguna Playa Grande
355.5,92.1000,0,,,,Laguna Playa Grande
356.5,92.0000,1,,,,Laguna Playa Grande
357.5,74.8000,0,,,,Laguna Playa Grande
358.5,52.8000,0,,,,Laguna Playa Grande
359.5,113.9000,1,,,,Laguna Playa Grande
360.5,72.5000,0,,,,Laguna Playa Grande
361.5,30.5000,0,,,,Laguna Playa Grande
362.5,28.5000,0,,,,Laguna Playa Grande
363.5,34.2000,0,,,,Laguna Playa Grande
364.5,31.0000,0,,,,Laguna Playa Grande
365.5,17.8000,0,,,,Laguna Playa Grande
366.5,30.2000,0,,,,Laguna Playa Grande
367.5,31.4000,0,,,,Laguna Playa Grande
368.5,45.7000,0,,,,Laguna Playa Grande
369.5,44.2000,0,,,,Laguna Playa Grande
370.5,50.9000,0,,,,Laguna Playa Grande
371.5,64.5000,1,,,,Laguna Playa Grande
372.5,59.9000,0,,,,Laguna Playa Grande
373.5,51.4000,0,,,,Laguna Playa Grande
374.5,56.3000,0,,,,Laguna Playa Grande
375.5,51.8000,0,,,,Laguna Playa Grande
376.5,47.0000,0,,,,Laguna Playa Grande
377.5,59.0000,0,,,,Laguna Playa Grande
378.5,60.1000,0,,,,Laguna Playa Grande
379.5,87.6000,1,,,,Laguna Playa Grande
380.5,55.1000,0,,,,Laguna Playa Grande
381.5,61.6000,0,,,,Laguna Playa Grande
382.5,56.9000,0,,,,Laguna Playa Grande
383.5,69.5000,0,,,,Laguna Playa Grande
384.5,89.6000,1,,,,Laguna Playa Grande
385.5,59.9000,0,,,,Laguna Playa Grande
386.5,49.0000,0,,,,Laguna Playa Grande
387.5,60.2000,0,,,,Laguna Playa Grande
388.5,55.8000,0,,,,Laguna Playa Grande
389.5,49.6000,0,,,,Laguna Playa Grande
390.5,40.1000,0,,,,Laguna Playa Grande
391.5,39.0000,0,,,,Laguna Playa Grande
392.5,50.9000,0,,,,Laguna Playa Grande
393.5,40.0000,0,,,,Laguna Playa Grande
394.5,43.0000,0,,,,Laguna Playa Grande
395.5,46.6000,0,,,,Laguna Playa Grande
1,14.8474,0,-65.1,-68.3,-62.3,Hancock County
2,18.4379,0,-60.6,-65.9,-52.8,Hancock County
3,26.6594,0,-56.1,-65.1,-40.7,Hancock County
4,33.1443,1,-51.7,-64.5,-28.5,Hancock County
5,28.5240,0,-46.5,-60.4,-26.2,Hancock County
6,32.4267,0,-41,-57.9,-23.2,Hancock County
7,31.2352,0,-36.1,-56,-17,Hancock County
8,17.3450,0,-26.8,-39.4,-14.2,Hancock County
9,4.0922,0,-17.5,-23.9,-9.8,Hancock County
10,4.0240,0,-8.1,-14.9,0.3,Hancock County
11,11.3315,0,185.5,170.7,217.5,Hancock County
12,31.1741,0,378.8,351.2,442.3,Hancock County
13,33.9408,1,572.1,531.5,667.5,Hancock County
14,3.5246,0,590.1,560.2,681.6,Hancock County
15,2.5191,0,607.6,567.4,705.9,Hancock County
16,2.0619,0,625.3,570.3,745.7,Hancock County
17,1.3120,0,640.7,579.5,761.1,Hancock County
18,2.0617,0,655.7,585.3,781.4,Hancock County
19,5.3333,1,670,588.7,809.5,Hancock County
20,2.3549,0,686.1,601.7,822.8,Hancock County
21,1.8532,0,702.7,608.5,844.2,Hancock County
22,1.9110,0,717.7,615,872.1,Hancock County
23,3.9253,0,733.5,630.5,886.9,Hancock County
24,7.1653,0,749.3,643,910,Hancock County
25,7.7592,1,763.2,651.4,935.3,Hancock County
26,2.9351,0,777.8,668.1,955.5,Hancock County
27,4.1159,0,793.2,681.2,980.1,Hancock County
28,5.7347,1,808.8,690.7,1002.8,Hancock County
29,2.2855,0,822.7,709.7,1024.2,Hancock County
30,5.4197,0,837.2,724.8,1048.8,Hancock County
31,6.9272,0,853.2,737,1070.4,Hancock County
32,5.9039,0,865.6,759.2,1086.8,Hancock County
33,13.4866,0,878.4,774.3,1104.7,Hancock County
34,12.6543,0,891.8,784.3,1124,Hancock County
35,25.3737,1,902.6,811.2,1140.2,Hancock County
36,24.2657,0,914.4,831,1162.1,Hancock County
37,15.6383,0,927.3,845.3,1181.3,Hancock County
38,4.9861,0,960.5,923.7,1228.6,Hancock County
39,2.6712,0,1002.8,936.9,1276.2,Hancock County
40,2.1485,0,1045.2,944.9,1333.2,Hancock County
41,3.0123,0,1133.5,996.6,1378.8,Hancock County
42,2.8616,0,1225.7,1022.8,1439.9,Hancock County
43,2.9396,0,1306.2,1042.5,1542.5,Hancock County
44,3.0886,0,1380.4,1193.4,1553.6,Hancock County
45,3.0775,0,1457.1,1314,1569.8,Hancock County
46,3.5291,0,1561.4,1389,1624.1,Hancock County
47,3.3653,0,1573.9,1404.8,1642.3,Hancock County
48,3.5019,0,1583.3,1423.3,1670.9,Hancock County
49,3.0759,0,1592.8,1434.8,1706.7,Hancock County
50,2.3056,0,1607.9,1448.7,1722.5,Hancock County
51,2.2211,0,1621.4,1460.6,1747.3,Hancock County
52,2.7428,0,1634.8,1471.2,1776.6,Hancock County
53,2.8512,0,1651.9,1487.9,1790.2,Hancock County
54,2.5650,0,1667.9,1501.2,1810.2,Hancock County
55,2.2807,0,1684,1509.8,1834.8,Hancock County
56,1.7020,0,1700.6,1530.7,1848.4,Hancock County
57,2.6893,0,1716.9,1545.3,1864.8,Hancock County
58,2.0912,0,1732.1,1556.1,1887.2,Hancock County
59,2.8827,0,1749.5,1576.2,1901.2,Hancock County
60,2.2475,0,1767.5,1591.1,1917.8,Hancock County
61,3.1842,0,1783.8,1604.9,1939.3,Hancock County
62,2.4901,0,1801.1,1623,1951.1,Hancock County
63,1.9710,0,1818.2,1639.9,1966.3,Hancock County
64,2.8174,0,1836.1,1654.8,1986.2,Hancock County
65,1.9648,0,1853,1675.3,1996.5,Hancock County
66,5.5387,0,1870.1,1693.8,2010.4,Hancock County
67,8.7016,1,1887.5,1709.2,2029.8,Hancock County
68,4.9950,0,1905.5,1735,2038.4,Hancock County
69,5.4476,0,1923.3,1754.5,2052,Hancock County
70,15.3717,0,1940.4,1770.2,2071,Hancock County
71,24.7085,1,1958.4,1794.7,2081.1,Hancock County
72,19.7682,0,1977.4,1813,2094.2,Hancock County
73,3.1664,0,1995.4,1828.3,2113.5,Hancock County
74,3.1959,0,2012.6,1852.1,2121.9,Hancock County
75,0.8922,0,2030,1872.1,2132.4,Hancock County
76,16.9487,1,2046.5,1890.7,2147.2,Hancock County
77,11.1996,0,2063.4,1921.4,2155,Hancock County
78,3.1561,0,2081.7,1941.6,2165.6,Hancock County
79,1.6050,0,2099.2,1958.5,2180.7,Hancock County
80,1.6859,0,2115.1,1994.3,2186.7,Hancock County
81,2.0470,0,2131.4,2020.7,2195.3,Hancock County
82,4.4431,0,2148.7,2040,2209.5,Hancock County
83,8.9138,0,2161.3,2060.8,2217,Hancock County
84,20.6626,0,2173.3,2075.6,2226.7,Hancock County
85,15.6189,0,2183.7,2086.7,2246.8,Hancock County
86,12.0933,0,2193.7,2102.4,2254,Hancock County
87,12.9605,0,2203.8,2115.6,2262.2,Hancock County
88,12.5696,0,2213.4,2126.6,2275.4,Hancock County
